Gene	Step1	Step2	Step3	BrainSpan
ABCB9	TRUE	FALSE	FALSE	TRUE
ACD	TRUE	FALSE	FALSE	TRUE
ACTR5	TRUE	FALSE	FALSE	TRUE
ADAMTSL3	TRUE	FALSE	FALSE	TRUE
AGPHD1	TRUE	FALSE	FALSE	FALSE
AKT3	TRUE	FALSE	FALSE	TRUE
ALDOA	TRUE	FALSE	FALSE	TRUE
AMBRA1	TRUE	FALSE	FALSE	TRUE
ANKK1	TRUE	FALSE	FALSE	TRUE
ANKRD44	TRUE	FALSE	FALSE	TRUE
ANKRD63	TRUE	FALSE	FALSE	FALSE
ANP32E	TRUE	FALSE	FALSE	TRUE
APH1A	TRUE	FALSE	FALSE	TRUE
APOPT1	TRUE	FALSE	FALSE	TRUE
ARHGAP1	TRUE	FALSE	FALSE	TRUE
ARL3	TRUE	FALSE	FALSE	TRUE
ARL6IP4	TRUE	FALSE	FALSE	TRUE
AS3MT	TRUE	FALSE	FALSE	TRUE
ASPHD1	TRUE	FALSE	FALSE	TRUE
ATG13	TRUE	FALSE	FALSE	TRUE
ATP2A2	TRUE	TRUE	FALSE	TRUE
ATPAF2	TRUE	FALSE	FALSE	TRUE
ATXN7	TRUE	FALSE	FALSE	TRUE
BAG5	TRUE	FALSE	FALSE	TRUE
BCL11B	TRUE	TRUE	FALSE	TRUE
BCL2L12	TRUE	FALSE	FALSE	TRUE
BOLL	TRUE	FALSE	FALSE	TRUE
BTBD18	TRUE	FALSE	FALSE	FALSE
C10orf32	TRUE	FALSE	FALSE	TRUE
C10orf32-AS3MT	TRUE	FALSE	FALSE	FALSE
C11orf31	TRUE	FALSE	FALSE	TRUE
C11orf87	TRUE	TRUE	FALSE	TRUE
C12orf65	TRUE	FALSE	FALSE	TRUE
C15orf52	TRUE	FALSE	FALSE	TRUE
C15orf56	TRUE	FALSE	FALSE	FALSE
C16orf86	TRUE	FALSE	FALSE	FALSE
C16orf92	TRUE	FALSE	FALSE	FALSE
C1orf51	TRUE	FALSE	FALSE	TRUE
C1orf54	TRUE	FALSE	FALSE	TRUE
C2orf47	TRUE	FALSE	FALSE	TRUE
C2orf69	TRUE	FALSE	FALSE	TRUE
C2orf82	TRUE	FALSE	FALSE	TRUE
C3orf49	TRUE	FALSE	FALSE	TRUE
C4orf27	TRUE	FALSE	FALSE	TRUE
CA14	TRUE	FALSE	FALSE	TRUE
CACNA1C	TRUE	TRUE	TRUE	TRUE
CACNA1C-AS4	TRUE	FALSE	FALSE	FALSE
CACNA1C-IT3	TRUE	FALSE	FALSE	FALSE
CACNA1I	TRUE	FALSE	FALSE	TRUE
CACNB2	TRUE	TRUE	TRUE	TRUE
CALHM1	TRUE	FALSE	FALSE	TRUE
CALHM2	TRUE	FALSE	FALSE	TRUE
CD14	TRUE	FALSE	FALSE	TRUE
CD34	TRUE	FALSE	FALSE	TRUE
CD46	TRUE	FALSE	FALSE	TRUE
CDC23	TRUE	FALSE	FALSE	TRUE
CDC25C	TRUE	FALSE	FALSE	TRUE
CDIPT	TRUE	FALSE	FALSE	TRUE
CDK2AP1	TRUE	FALSE	FALSE	TRUE
CENPM	TRUE	FALSE	FALSE	TRUE
CENPT	TRUE	FALSE	FALSE	TRUE
CHADL	TRUE	FALSE	FALSE	FALSE
CHRM4	TRUE	FALSE	FALSE	TRUE
CHRNA3	TRUE	FALSE	FALSE	TRUE
CHRNA5	TRUE	FALSE	FALSE	TRUE
CHRNB4	TRUE	FALSE	FALSE	TRUE
CILP2	TRUE	FALSE	FALSE	TRUE
CKAP5	TRUE	FALSE	FALSE	TRUE
CKB	TRUE	FALSE	FALSE	TRUE
CLCN3	TRUE	FALSE	FALSE	TRUE
CLP1	TRUE	FALSE	FALSE	TRUE
CLU	TRUE	FALSE	FALSE	TRUE
CNNM2	TRUE	FALSE	FALSE	TRUE
CNOT1	TRUE	FALSE	FALSE	TRUE
CNTN4	TRUE	TRUE	FALSE	TRUE
COQ10B	TRUE	FALSE	FALSE	TRUE
CORO1A	TRUE	FALSE	FALSE	TRUE
CR1L	TRUE	FALSE	FALSE	FALSE
CREB3L1	TRUE	FALSE	FALSE	TRUE
CSMD1	TRUE	TRUE	TRUE	TRUE
CTCF	TRUE	FALSE	FALSE	TRUE
CTNND1	TRUE	FALSE	FALSE	TRUE
CTRL	TRUE	FALSE	FALSE	TRUE
CUL3	TRUE	TRUE	TRUE	TRUE
CYP17A1	TRUE	FALSE	FALSE	TRUE
CYP26B1	TRUE	FALSE	FALSE	TRUE
CYP2D6	TRUE	FALSE	FALSE	FALSE
CYP2D7P1	TRUE	FALSE	FALSE	TRUE
DDX28	TRUE	FALSE	FALSE	TRUE
DFNA5	TRUE	FALSE	FALSE	TRUE
DGKI	TRUE	FALSE	FALSE	TRUE
DGKZ	TRUE	FALSE	FALSE	TRUE
DISP2	TRUE	FALSE	FALSE	TRUE
DNAJC19	TRUE	FALSE	FALSE	TRUE
DND1	TRUE	FALSE	FALSE	TRUE
DNM1P41	TRUE	FALSE	FALSE	FALSE
DOC2A	TRUE	FALSE	FALSE	TRUE
DPEP2	TRUE	FALSE	FALSE	TRUE
DPEP3	TRUE	FALSE	FALSE	TRUE
DPP4	TRUE	FALSE	FALSE	TRUE
DPYD	TRUE	TRUE	FALSE	FALSE
DPYD-AS1	TRUE	FALSE	FALSE	FALSE
DRD2	TRUE	FALSE	FALSE	TRUE
DRG2	TRUE	FALSE	FALSE	TRUE
DUS2L	TRUE	FALSE	FALSE	TRUE
EDC4	TRUE	FALSE	FALSE	TRUE
EFHD1	TRUE	FALSE	FALSE	TRUE
EFTUD1P1	TRUE	FALSE	FALSE	FALSE
EGR1	TRUE	FALSE	FALSE	TRUE
ENKD1	TRUE	FALSE	FALSE	FALSE
EP300	TRUE	FALSE	FALSE	TRUE
